Dspecies1    Dspecies2    Dspecies3    Dspecies4    X1           X2           X3           X4           Mr           Mp           Yr1          Yr2          Yr3          Yr4         
0.000019577048 0.000014519338 0.000019643789 0.000018545849 0.400000000000 0.200000000000 0.200000000000 0.200000000000 0.000000000000 0.000000000000 0.000000000000 0.000000000000 0.000000000000 0.000000000000
0.000019572807 0.000014515594 0.000019639717 0.000018541497 0.399003160279 0.200674433521 0.199647972679 0.200674433521 8772.583610883405 25.866389116596 0.723018756489 0.000000000000 0.276981243511 0.000000000000
0.000019571982 0.000014514865 0.000019638924 0.000018540650 0.398809667653 0.200805675604 0.199578981140 0.200805675604 8767.570794509500 30.879205490501 0.722904080160 0.000000000000 0.277095919840 -0.000000000000
0.000019571889 0.000014514783 0.000019638835 0.000018540555 0.398787899044 0.200820473074 0.199571154809 0.200820473074 8767.006060545707 31.443939454293 0.722882482974 0.000000000000 0.277117517026 -0.000000000000
0.000019571879 0.000014514774 0.000019638825 0.000018540544 0.398785451576 0.200822140406 0.199570267612 0.200822140406 8766.942438629669 31.507561370332 0.722878867123 0.000000000000 0.277121132877 0.000000000000
0.000019571877 0.000014514773 0.000019638824 0.000018540543 0.398785176424 0.200822328262 0.199570167051 0.200822328262 8766.935271085431 31.514728914570 0.722878322233 0.000000000000 0.277121677767 0.000000000000
0.000019571877 0.000014514773 0.000019638823 0.000018540543 0.398785145491 0.200822349428 0.199570155653 0.200822349428 8766.934463599751 31.515536400249 0.722878245291 0.000000000000 0.277121754709 0.000000000000
0.000019571877 0.000014514773 0.000019638823 0.000018540543 0.398785142014 0.200822351812 0.199570154361 0.200822351812 8766.934372629357 31.515627370643 0.722878234871 0.000000000000 0.277121765129 0.000000000000
0.000019571877 0.000014514773 0.000019638823 0.000018540543 0.398785141623 0.200822352081 0.199570154215 0.200822352081 8766.934362380720 31.515637619281 0.722878233501 0.000000000000 0.277121766499 0.000000000000
0.000019571877 0.000014514773 0.000019638823 0.000018540543 0.398785141579 0.200822352111 0.199570154199 0.200822352111 8766.934361226116 31.515638773884 0.722878233324 -0.000000000000 0.277121766676 -0.000000000000
0.000019571877 0.000014514773 0.000019638823 0.000018540543 0.398785141574 0.200822352115 0.199570154197 0.200822352115 8766.934361096039 31.515638903962 0.722878233302 0.000000000000 0.277121766698 -0.000000000000
0.000019571877 0.000014514773 0.000019638823 0.000018540543 0.398785141573 0.200822352115 0.199570154196 0.200822352115 8766.934361081383 31.515638918618 0.722878233299 0.000000000000 0.277121766701 0.000000000000
